file,caption,isTrue,,
20241110.webp,ユートピアS　優勝　446kg　2024年11月10日（4歳）,TRUE,,
20240920.webp,コスモヴューファーム　479kg　2024年9月中旬（4歳）,,,
20240823.webp,コスモヴューファーム　2024年8月中旬（4歳）,,,
20240511.webp,国分寺特別　優勝　450kg　2024年5月11日（4歳）,,,
20231022.webp,柏崎特別　優勝　448kg　2023年10月22日（3歳）,,,
20230902.webp,3歳未勝利　優勝　444kg　2023年9月2日（3歳）,,,
20220617.webp,コスモヴューファーム　2022年6月中旬（2歳）,,,
20220520.webp,コスモヴューファーム　2022年5月中旬（2歳）,,,
20220415.webp,コスモヴューファーム　2022年4月中旬（2歳）,,,
20220318.webp,コスモヴューファーム　2022年3月中旬（2歳）,,,
20220218.webp,コスモヴューファーム　2022年2月中旬（2歳）,,,
20211217.webp,コスモヴューファーム　2021年11月中旬（1歳）,,,
20211015.webp,コスモヴューファーム　415kg　2021年10月中旬（1歳）,,,
20210917.webp,コスモヴューファーム　2021年9月中旬（1歳）,,,
20210701.webp,募集時　405kg　2021年7月（1歳）,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,cosmoplatina20
